dt,S_bal
2024-07-01 10:45:00+00:00,86.71
2024-07-01 11:00:00+00:00,78.25
2024-07-01 11:15:00+00:00,110.47
2024-07-01 11:30:00+00:00,120.95
2024-07-01 11:45:00+00:00,118.46
2024-07-01 12:00:00+00:00,-25.98
2024-07-01 12:15:00+00:00,87.27
2024-07-01 12:30:00+00:00,103.28
2024-07-01 12:45:00+00:00,119.39
2024-07-01 13:00:00+00:00,82.84
2024-07-01 13:15:00+00:00,90.18
2024-07-01 13:30:00+00:00,67.17
2024-07-01 13:45:00+00:00,64.92
2024-07-01 14:00:00+00:00,113.97
2024-07-01 14:15:00+00:00,-22.43
2024-07-01 14:30:00+00:00,-8.14
2024-07-01 14:45:00+00:00,118.75
2024-07-01 15:00:00+00:00,99.9
2024-07-01 15:15:00+00:00,74.73
2024-07-01 15:30:00+00:00,99.89
2024-07-01 15:45:00+00:00,129.31
2024-07-01 16:00:00+00:00,85.44
2024-07-01 16:15:00+00:00,125.46
2024-07-01 16:30:00+00:00,20.85
2024-07-01 16:45:00+00:00,106.89
2024-07-01 17:00:00+00:00,82.86
2024-07-01 17:15:00+00:00,73.21
2024-07-01 17:30:00+00:00,82.98
2024-07-01 17:45:00+00:00,30.99
2024-07-01 18:00:00+00:00,-80.49
2024-07-01 18:15:00+00:00,83.93
2024-07-01 18:30:00+00:00,111.95
2024-07-01 18:45:00+00:00,62.04
2024-07-01 19:00:00+00:00,50.47
2024-07-01 19:15:00+00:00,58.14
2024-07-01 19:30:00+00:00,93.57
2024-07-01 19:45:00+00:00,78.9
2024-07-01 20:00:00+00:00,55.78
2024-07-01 20:15:00+00:00,81.85
2024-07-01 20:30:00+00:00,71.45
2024-07-01 20:45:00+00:00,93.24
2024-07-01 21:00:00+00:00,53.31
2024-07-01 21:15:00+00:00,62.67
2024-07-01 21:30:00+00:00,61.06
2024-07-01 21:45:00+00:00,34.27
2024-07-01 22:00:00+00:00,83.74
2024-07-01 22:15:00+00:00,82.87
2024-07-01 22:30:00+00:00,76.47
2024-07-01 22:45:00+00:00,70.48
2024-07-01 23:00:00+00:00,49.44
2024-07-01 23:15:00+00:00,74.31
2024-07-01 23:30:00+00:00,-23.74
2024-07-01 23:45:00+00:00,64.77
2024-07-02 00:00:00+00:00,90.97
2024-07-02 00:15:00+00:00,105.1
2024-07-02 00:30:00+00:00,142.15
2024-07-02 00:45:00+00:00,99.36
2024-07-02 01:00:00+00:00,111.62
2024-07-02 01:15:00+00:00,103.32
2024-07-02 01:30:00+00:00,57.21
2024-07-02 01:45:00+00:00,104.51
2024-07-02 02:00:00+00:00,115.17
2024-07-02 02:15:00+00:00,175.24
2024-07-02 02:30:00+00:00,8.85
2024-07-02 02:45:00+00:00,121.2
2024-07-02 03:00:00+00:00,118.27
2024-07-02 03:15:00+00:00,89.93
2024-07-02 03:30:00+00:00,147.71
2024-07-02 03:45:00+00:00,137.94
2024-07-02 04:00:00+00:00,40.76
2024-07-02 04:15:00+00:00,98.25
2024-07-02 04:30:00+00:00,156.05
2024-07-02 04:45:00+00:00,85.93
2024-07-02 05:00:00+00:00,133.99
2024-07-02 05:15:00+00:00,174.08
2024-07-02 05:30:00+00:00,94.56
2024-07-02 05:45:00+00:00,105.16
2024-07-02 06:00:00+00:00,117.49
2024-07-02 06:15:00+00:00,102.41
2024-07-02 06:30:00+00:00,76.23
2024-07-02 06:45:00+00:00,116.71
2024-07-02 07:00:00+00:00,82.76
2024-07-02 07:15:00+00:00,121.16
2024-07-02 07:30:00+00:00,86.33
2024-07-02 07:45:00+00:00,148.07
2024-07-02 08:00:00+00:00,84.08
2024-07-02 08:15:00+00:00,95.61
2024-07-02 08:30:00+00:00,124.0
2024-07-02 08:45:00+00:00,72.89
2024-07-02 09:00:00+00:00,104.83
2024-07-02 09:15:00+00:00,131.82
2024-07-02 09:30:00+00:00,58.96
2024-07-02 09:45:00+00:00,103.76
2024-07-02 10:00:00+00:00,102.84
2024-07-02 10:15:00+00:00,115.89
2024-07-02 10:30:00+00:00,65.42
2024-07-02 10:45:00+00:00,63.33
2024-07-02 11:00:00+00:00,108.22
2024-07-02 11:15:00+00:00,102.6
2024-07-02 11:30:00+00:00,101.44
2024-07-02 11:45:00+00:00,103.84
2024-07-02 12:00:00+00:00,78.0
2024-07-02 12:15:00+00:00,100.81
2024-07-02 12:30:00+00:00,102.33
2024-07-02 12:45:00+00:00,77.14
2024-07-02 13:00:00+00:00,-8.53
2024-07-02 13:15:00+00:00,6.67
2024-07-02 13:30:00+00:00,65.04
2024-07-02 13:45:00+00:00,11.24
2024-07-02 14:00:00+00:00,69.29
2024-07-02 14:15:00+00:00,113.34
2024-07-02 14:30:00+00:00,122.63
2024-07-02 14:45:00+00:00,73.14
2024-07-02 15:00:00+00:00,114.94
2024-07-02 15:15:00+00:00,101.18
2024-07-02 15:30:00+00:00,111.41
2024-07-02 15:45:00+00:00,138.28
2024-07-02 16:00:00+00:00,80.21
2024-07-02 16:15:00+00:00,67.5
2024-07-02 16:30:00+00:00,64.1
2024-07-02 16:45:00+00:00,65.94
2024-07-02 17:00:00+00:00,-21.25
2024-07-02 17:15:00+00:00,89.21
2024-07-02 17:30:00+00:00,87.6
2024-07-02 17:45:00+00:00,101.36
2024-07-02 18:00:00+00:00,75.33
2024-07-02 18:15:00+00:00,111.34
2024-07-02 18:30:00+00:00,68.38
2024-07-02 18:45:00+00:00,143.0
2024-07-02 19:00:00+00:00,86.32
2024-07-02 19:15:00+00:00,49.25
2024-07-02 19:30:00+00:00,43.91
2024-07-02 19:45:00+00:00,82.74
2024-07-02 20:00:00+00:00,63.43
2024-07-02 20:15:00+00:00,86.87
2024-07-02 20:30:00+00:00,80.85
2024-07-02 20:45:00+00:00,67.2
2024-07-02 21:00:00+00:00,49.69
2024-07-02 21:15:00+00:00,32.99
2024-07-02 21:30:00+00:00,59.69
2024-07-02 21:45:00+00:00,92.27
2024-07-02 22:00:00+00:00,81.69
2024-07-02 22:15:00+00:00,45.2
2024-07-02 22:30:00+00:00,80.67
2024-07-02 22:45:00+00:00,85.97
2024-07-02 23:00:00+00:00,-87.27
2024-07-02 23:15:00+00:00,88.67
2024-07-02 23:30:00+00:00,-13.72
2024-07-02 23:45:00+00:00,56.25
2024-07-03 00:00:00+00:00,103.94
2024-07-03 00:15:00+00:00,109.02
2024-07-03 00:30:00+00:00,122.08
2024-07-03 00:45:00+00:00,121.35
2024-07-03 01:00:00+00:00,70.73
2024-07-03 01:15:00+00:00,81.73
2024-07-03 01:30:00+00:00,118.05
2024-07-03 01:45:00+00:00,118.02
2024-07-03 02:00:00+00:00,126.54
2024-07-03 02:15:00+00:00,209.98
2024-07-03 02:30:00+00:00,127.93
2024-07-03 02:45:00+00:00,142.05
2024-07-03 03:00:00+00:00,142.99
2024-07-03 03:15:00+00:00,135.43
2024-07-03 03:30:00+00:00,111.26
2024-07-03 03:45:00+00:00,138.12
2024-07-03 04:00:00+00:00,101.66
2024-07-03 04:15:00+00:00,115.06
2024-07-03 04:30:00+00:00,108.85
2024-07-03 04:45:00+00:00,123.03
2024-07-03 05:00:00+00:00,177.18
2024-07-03 05:15:00+00:00,72.64
2024-07-03 05:30:00+00:00,136.48
2024-07-03 05:45:00+00:00,79.0
2024-07-03 06:00:00+00:00,103.2
2024-07-03 06:15:00+00:00,142.22
2024-07-03 06:30:00+00:00,116.61
2024-07-03 06:45:00+00:00,88.06
2024-07-03 07:00:00+00:00,91.44
2024-07-03 07:15:00+00:00,126.31
2024-07-03 07:30:00+00:00,91.06
2024-07-03 07:45:00+00:00,114.73
2024-07-03 08:00:00+00:00,104.8
2024-07-03 08:15:00+00:00,87.37
2024-07-03 08:30:00+00:00,157.26
2024-07-03 08:45:00+00:00,119.51
2024-07-03 09:00:00+00:00,48.51
2024-07-03 09:15:00+00:00,103.8
2024-07-03 09:30:00+00:00,82.6
2024-07-03 09:45:00+00:00,120.45
2024-07-03 10:00:00+00:00,76.53
2024-07-03 10:15:00+00:00,93.47
2024-07-03 10:30:00+00:00,108.96
2024-07-03 10:45:00+00:00,117.98
2024-07-03 11:00:00+00:00,-34.83
2024-07-03 11:15:00+00:00,86.81
2024-07-03 11:30:00+00:00,83.3
2024-07-03 11:45:00+00:00,78.84
2024-07-03 12:00:00+00:00,139.14
2024-07-03 12:15:00+00:00,105.12
2024-07-03 12:30:00+00:00,63.48
2024-07-03 12:45:00+00:00,117.95
2024-07-03 13:00:00+00:00,147.88
2024-07-03 13:15:00+00:00,120.64
2024-07-03 13:30:00+00:00,56.84
2024-07-03 13:45:00+00:00,82.72
2024-07-03 14:00:00+00:00,125.33
2024-07-03 14:15:00+00:00,75.97
2024-07-03 14:30:00+00:00,104.76
2024-07-03 14:45:00+00:00,113.03
2024-07-03 15:00:00+00:00,67.68
2024-07-03 15:15:00+00:00,89.37
2024-07-03 15:30:00+00:00,9.83
2024-07-03 15:45:00+00:00,65.25
2024-07-03 16:00:00+00:00,80.03
2024-07-03 16:15:00+00:00,55.15
2024-07-03 16:30:00+00:00,127.15
2024-07-03 16:45:00+00:00,50.59
2024-07-03 17:00:00+00:00,69.68
2024-07-03 17:15:00+00:00,83.95
2024-07-03 17:30:00+00:00,116.71
2024-07-03 17:45:00+00:00,44.78
2024-07-03 18:00:00+00:00,104.08
2024-07-03 18:15:00+00:00,75.26
2024-07-03 18:30:00+00:00,50.46
2024-07-03 18:45:00+00:00,86.55
2024-07-03 19:00:00+00:00,-24.34
2024-07-03 19:15:00+00:00,55.68
2024-07-03 19:30:00+00:00,72.43
2024-07-03 19:45:00+00:00,61.05
2024-07-03 20:00:00+00:00,71.86
2024-07-03 20:15:00+00:00,85.57
2024-07-03 20:30:00+00:00,8.67
2024-07-03 20:45:00+00:00,38.07
2024-07-03 21:00:00+00:00,124.18
2024-07-03 21:15:00+00:00,22.06
2024-07-03 21:30:00+00:00,67.06
2024-07-03 21:45:00+00:00,85.57
2024-07-03 22:00:00+00:00,83.36
2024-07-03 22:15:00+00:00,60.77
2024-07-03 22:30:00+00:00,71.14
2024-07-03 22:45:00+00:00,64.01
2024-07-03 23:00:00+00:00,70.09
2024-07-03 23:15:00+00:00,106.06
2024-07-03 23:30:00+00:00,93.75
2024-07-03 23:45:00+00:00,67.5
2024-07-04 00:00:00+00:00,117.49
2024-07-04 00:15:00+00:00,102.68
2024-07-04 00:30:00+00:00,115.32
2024-07-04 00:45:00+00:00,110.74
2024-07-04 01:00:00+00:00,84.45
2024-07-04 01:15:00+00:00,91.17
2024-07-04 01:30:00+00:00,123.86
2024-07-04 01:45:00+00:00,120.44
2024-07-04 02:00:00+00:00,113.14
2024-07-04 02:15:00+00:00,116.59
2024-07-04 02:30:00+00:00,145.6
2024-07-04 02:45:00+00:00,98.87
2024-07-04 03:00:00+00:00,132.82
2024-07-04 03:15:00+00:00,114.09
2024-07-04 03:30:00+00:00,113.7
2024-07-04 03:45:00+00:00,146.61
2024-07-04 04:00:00+00:00,141.62
2024-07-04 04:15:00+00:00,141.32
2024-07-04 04:30:00+00:00,153.62
2024-07-04 04:45:00+00:00,121.51
2024-07-04 05:00:00+00:00,-13.63
2024-07-04 05:15:00+00:00,111.56
2024-07-04 05:30:00+00:00,127.42
2024-07-04 05:45:00+00:00,116.06
2024-07-04 06:00:00+00:00,117.42
2024-07-04 06:15:00+00:00,129.88
2024-07-04 06:30:00+00:00,94.54
2024-07-04 06:45:00+00:00,17.31
2024-07-04 07:00:00+00:00,84.17
2024-07-04 07:15:00+00:00,78.96
2024-07-04 07:30:00+00:00,138.27
2024-07-04 07:45:00+00:00,129.11
2024-07-04 08:00:00+00:00,119.26
2024-07-04 08:15:00+00:00,119.37
2024-07-04 08:30:00+00:00,103.35
2024-07-04 08:45:00+00:00,81.23
2024-07-04 09:00:00+00:00,101.04
2024-07-04 09:15:00+00:00,82.21
2024-07-04 09:30:00+00:00,123.52
2024-07-04 09:45:00+00:00,95.47
2024-07-04 10:00:00+00:00,75.7
2024-07-04 10:15:00+00:00,88.31
2024-07-04 10:30:00+00:00,106.66
2024-07-04 10:45:00+00:00,82.25
2024-07-04 11:00:00+00:00,74.62
2024-07-04 11:15:00+00:00,101.27
2024-07-04 11:30:00+00:00,101.3
2024-07-04 11:45:00+00:00,82.5
2024-07-04 12:00:00+00:00,83.22
2024-07-04 12:15:00+00:00,100.8
2024-07-04 12:30:00+00:00,58.8
2024-07-04 12:45:00+00:00,59.81
2024-07-04 13:00:00+00:00,-73.14
2024-07-04 13:15:00+00:00,89.49
2024-07-04 13:30:00+00:00,102.6
2024-07-04 13:45:00+00:00,131.71
2024-07-04 14:00:00+00:00,115.1
2024-07-04 14:15:00+00:00,89.66
2024-07-04 14:30:00+00:00,93.18
2024-07-04 14:45:00+00:00,-31.4
2024-07-04 15:00:00+00:00,90.4
2024-07-04 15:15:00+00:00,83.64
2024-07-04 15:30:00+00:00,98.93
2024-07-04 15:45:00+00:00,70.18
2024-07-04 16:00:00+00:00,99.32
2024-07-04 16:15:00+00:00,124.66
2024-07-04 16:30:00+00:00,83.62
2024-07-04 16:45:00+00:00,96.38
2024-07-04 17:00:00+00:00,97.94
2024-07-04 17:15:00+00:00,70.65
2024-07-04 17:30:00+00:00,86.28
2024-07-04 17:45:00+00:00,81.0
2024-07-04 18:00:00+00:00,77.44
2024-07-04 18:15:00+00:00,55.67
2024-07-04 18:30:00+00:00,-74.39
2024-07-04 18:45:00+00:00,87.45
2024-07-04 19:00:00+00:00,106.96
2024-07-04 19:15:00+00:00,94.66
2024-07-04 19:30:00+00:00,124.51
2024-07-04 19:45:00+00:00,51.5
2024-07-04 20:00:00+00:00,90.83
2024-07-04 20:15:00+00:00,73.6
2024-07-04 20:30:00+00:00,123.76
2024-07-04 20:45:00+00:00,48.81
2024-07-04 21:00:00+00:00,49.86
2024-07-04 21:15:00+00:00,55.87
2024-07-04 21:30:00+00:00,17.76
2024-07-04 21:45:00+00:00,57.71
2024-07-04 22:00:00+00:00,57.36
2024-07-04 22:15:00+00:00,80.1
2024-07-04 22:30:00+00:00,84.88
2024-07-04 22:45:00+00:00,123.24
2024-07-04 23:00:00+00:00,108.58
2024-07-04 23:15:00+00:00,70.4
2024-07-04 23:30:00+00:00,62.36
2024-07-04 23:45:00+00:00,97.12
2024-07-05 00:00:00+00:00,61.99
2024-07-05 00:15:00+00:00,140.79
2024-07-05 00:30:00+00:00,124.49
2024-07-05 00:45:00+00:00,83.27
2024-07-05 01:00:00+00:00,-87.65
2024-07-05 01:15:00+00:00,139.02
2024-07-05 01:30:00+00:00,102.31
2024-07-05 01:45:00+00:00,136.12
2024-07-05 02:00:00+00:00,73.8
2024-07-05 02:15:00+00:00,98.68
2024-07-05 02:30:00+00:00,113.79
2024-07-05 02:45:00+00:00,114.83
2024-07-05 03:00:00+00:00,107.89
2024-07-05 03:15:00+00:00,134.71
2024-07-05 03:30:00+00:00,92.45
2024-07-05 03:45:00+00:00,115.58
2024-07-05 04:00:00+00:00,123.99
2024-07-05 04:15:00+00:00,133.84
2024-07-05 04:30:00+00:00,138.77
2024-07-05 04:45:00+00:00,92.86
2024-07-05 05:00:00+00:00,80.97
2024-07-05 05:15:00+00:00,51.26
2024-07-05 05:30:00+00:00,127.63
2024-07-05 05:45:00+00:00,100.61
2024-07-05 06:00:00+00:00,153.78
2024-07-05 06:15:00+00:00,117.89
2024-07-05 06:30:00+00:00,144.48
2024-07-05 06:45:00+00:00,116.69
2024-07-05 07:00:00+00:00,160.84
2024-07-05 07:15:00+00:00,153.2
2024-07-05 07:30:00+00:00,103.09
2024-07-05 07:45:00+00:00,133.61
2024-07-05 08:00:00+00:00,119.79
2024-07-05 08:15:00+00:00,137.88
2024-07-05 08:30:00+00:00,79.54
2024-07-05 08:45:00+00:00,120.81
2024-07-05 09:00:00+00:00,125.6
2024-07-05 09:15:00+00:00,55.17
2024-07-05 09:30:00+00:00,-30.44
2024-07-05 09:45:00+00:00,48.16
2024-07-05 10:00:00+00:00,-10.4
2024-07-05 10:15:00+00:00,114.28
2024-07-05 10:30:00+00:00,133.9
2024-07-05 10:45:00+00:00,98.19
2024-07-05 11:00:00+00:00,135.89
2024-07-05 11:15:00+00:00,60.67
2024-07-05 11:30:00+00:00,52.59
2024-07-05 11:45:00+00:00,93.79
2024-07-05 12:00:00+00:00,104.6
2024-07-05 12:15:00+00:00,94.18
2024-07-05 12:30:00+00:00,43.31
2024-07-05 12:45:00+00:00,92.77
2024-07-05 13:00:00+00:00,62.21
2024-07-05 13:15:00+00:00,111.57
2024-07-05 13:30:00+00:00,103.99
2024-07-05 13:45:00+00:00,-78.67
2024-07-05 14:00:00+00:00,80.81
2024-07-05 14:15:00+00:00,67.18
2024-07-05 14:30:00+00:00,-57.91
2024-07-05 14:45:00+00:00,117.54
2024-07-05 15:00:00+00:00,66.21
2024-07-05 15:15:00+00:00,103.46
2024-07-05 15:30:00+00:00,77.6
2024-07-05 15:45:00+00:00,71.04
2024-07-05 16:00:00+00:00,83.66
2024-07-05 16:15:00+00:00,60.46
2024-07-05 16:30:00+00:00,72.5
2024-07-05 16:45:00+00:00,-93.61
2024-07-05 17:00:00+00:00,129.8
2024-07-05 17:15:00+00:00,81.56
2024-07-05 17:30:00+00:00,63.19
2024-07-05 17:45:00+00:00,86.03
2024-07-05 18:00:00+00:00,72.19
2024-07-05 18:15:00+00:00,69.48
2024-07-05 18:30:00+00:00,90.35
2024-07-05 18:45:00+00:00,93.94
2024-07-05 19:00:00+00:00,57.42
2024-07-05 19:15:00+00:00,56.29
2024-07-05 19:30:00+00:00,63.81
2024-07-05 19:45:00+00:00,13.13
2024-07-05 20:00:00+00:00,31.14
2024-07-05 20:15:00+00:00,103.19
2024-07-05 20:30:00+00:00,110.14
2024-07-05 20:45:00+00:00,62.79
2024-07-05 21:00:00+00:00,85.27
2024-07-05 21:15:00+00:00,78.64
2024-07-05 21:30:00+00:00,147.83
2024-07-05 21:45:00+00:00,98.85
2024-07-05 22:00:00+00:00,73.14
2024-07-05 22:15:00+00:00,52.45
2024-07-05 22:30:00+00:00,36.18
2024-07-05 22:45:00+00:00,81.43
2024-07-05 23:00:00+00:00,65.91
2024-07-05 23:15:00+00:00,49.27
2024-07-05 23:30:00+00:00,-31.34
2024-07-05 23:45:00+00:00,57.78
2024-07-06 00:00:00+00:00,12.18
2024-07-06 00:15:00+00:00,92.04
2024-07-06 00:30:00+00:00,69.8
2024-07-06 00:45:00+00:00,107.0
2024-07-06 01:00:00+00:00,82.11
2024-07-06 01:15:00+00:00,58.64
2024-07-06 01:30:00+00:00,118.25
2024-07-06 01:45:00+00:00,93.65
2024-07-06 02:00:00+00:00,62.73
2024-07-06 02:15:00+00:00,83.9
2024-07-06 02:30:00+00:00,66.77
2024-07-06 02:45:00+00:00,54.09
2024-07-06 03:00:00+00:00,117.3
2024-07-06 03:15:00+00:00,141.88
2024-07-06 03:30:00+00:00,59.18
2024-07-06 03:45:00+00:00,108.22
2024-07-06 04:00:00+00:00,79.71
2024-07-06 04:15:00+00:00,-16.2
2024-07-06 04:30:00+00:00,81.17
2024-07-06 04:45:00+00:00,74.38
2024-07-06 05:00:00+00:00,95.53
2024-07-06 05:15:00+00:00,73.54
2024-07-06 05:30:00+00:00,101.08
2024-07-06 05:45:00+00:00,93.06
2024-07-06 06:00:00+00:00,84.03
2024-07-06 06:15:00+00:00,67.31
2024-07-06 06:30:00+00:00,75.58
2024-07-06 06:45:00+00:00,108.88
2024-07-06 07:00:00+00:00,96.84
2024-07-06 07:15:00+00:00,59.88
2024-07-06 07:30:00+00:00,86.8
2024-07-06 07:45:00+00:00,103.1
2024-07-06 08:00:00+00:00,36.93
2024-07-06 08:15:00+00:00,92.24
2024-07-06 08:30:00+00:00,62.09
2024-07-06 08:45:00+00:00,92.93
2024-07-06 09:00:00+00:00,55.06
2024-07-06 09:15:00+00:00,29.02
2024-07-06 09:30:00+00:00,33.45
2024-07-06 09:45:00+00:00,75.34
2024-07-06 10:00:00+00:00,77.83
2024-07-06 10:15:00+00:00,48.73
2024-07-06 10:30:00+00:00,87.3
2024-07-06 10:45:00+00:00,29.8
2024-07-06 11:00:00+00:00,-31.48
2024-07-06 11:15:00+00:00,39.9
2024-07-06 11:30:00+00:00,53.88
2024-07-06 11:45:00+00:00,71.36
2024-07-06 12:00:00+00:00,48.49
2024-07-06 12:15:00+00:00,60.39
2024-07-06 12:30:00+00:00,95.16
2024-07-06 12:45:00+00:00,55.58
2024-07-06 13:00:00+00:00,90.72
2024-07-06 13:15:00+00:00,41.58
2024-07-06 13:30:00+00:00,83.07
2024-07-06 13:45:00+00:00,105.86
2024-07-06 14:00:00+00:00,6.87
2024-07-06 14:15:00+00:00,48.74
2024-07-06 14:30:00+00:00,83.09
2024-07-06 14:45:00+00:00,-36.42
2024-07-06 15:00:00+00:00,75.14
2024-07-06 15:15:00+00:00,50.76
2024-07-06 15:30:00+00:00,68.02
2024-07-06 15:45:00+00:00,61.97
2024-07-06 16:00:00+00:00,90.53
2024-07-06 16:15:00+00:00,67.7
2024-07-06 16:30:00+00:00,69.78
2024-07-06 16:45:00+00:00,51.04
2024-07-06 17:00:00+00:00,43.49
2024-07-06 17:15:00+00:00,44.87
2024-07-06 17:30:00+00:00,65.54
2024-07-06 17:45:00+00:00,-54.84
2024-07-06 18:00:00+00:00,57.24
2024-07-06 18:15:00+00:00,101.89
2024-07-06 18:30:00+00:00,-28.22
2024-07-06 18:45:00+00:00,41.85
2024-07-06 19:00:00+00:00,75.71
2024-07-06 19:15:00+00:00,35.48
2024-07-06 19:30:00+00:00,-5.27
2024-07-06 19:45:00+00:00,20.48
2024-07-06 20:00:00+00:00,-2.75
2024-07-06 20:15:00+00:00,35.23
2024-07-06 20:30:00+00:00,44.48
2024-07-06 20:45:00+00:00,85.93
2024-07-06 21:00:00+00:00,54.03
2024-07-06 21:15:00+00:00,40.38
2024-07-06 21:30:00+00:00,66.59
2024-07-06 21:45:00+00:00,-9.42
2024-07-06 22:00:00+00:00,57.23
2024-07-06 22:15:00+00:00,70.61
2024-07-06 22:30:00+00:00,14.38
2024-07-06 22:45:00+00:00,79.93
2024-07-06 23:00:00+00:00,68.29
2024-07-06 23:15:00+00:00,49.44
2024-07-06 23:30:00+00:00,75.64
2024-07-06 23:45:00+00:00,116.59
2024-07-07 00:00:00+00:00,74.55
2024-07-07 00:15:00+00:00,76.21
2024-07-07 00:30:00+00:00,58.52
2024-07-07 00:45:00+00:00,48.75
2024-07-07 01:00:00+00:00,100.93
2024-07-07 01:15:00+00:00,58.77
2024-07-07 01:30:00+00:00,81.97
2024-07-07 01:45:00+00:00,68.23
2024-07-07 02:00:00+00:00,100.63
2024-07-07 02:15:00+00:00,97.0
2024-07-07 02:30:00+00:00,114.6
2024-07-07 02:45:00+00:00,75.91
2024-07-07 03:00:00+00:00,-62.6
2024-07-07 03:15:00+00:00,69.67
2024-07-07 03:30:00+00:00,83.03
2024-07-07 03:45:00+00:00,103.57
2024-07-07 04:00:00+00:00,114.91
2024-07-07 04:15:00+00:00,72.93
2024-07-07 04:30:00+00:00,117.72
2024-07-07 04:45:00+00:00,129.87
2024-07-07 05:00:00+00:00,104.65
2024-07-07 05:15:00+00:00,141.24
2024-07-07 05:30:00+00:00,74.97
2024-07-07 05:45:00+00:00,63.2
2024-07-07 06:00:00+00:00,45.53
2024-07-07 06:15:00+00:00,127.4
2024-07-07 06:30:00+00:00,106.36
2024-07-07 06:45:00+00:00,88.61
2024-07-07 07:00:00+00:00,91.32
2024-07-07 07:15:00+00:00,56.18
2024-07-07 07:30:00+00:00,145.46
2024-07-07 07:45:00+00:00,87.55
2024-07-07 08:00:00+00:00,81.4
2024-07-07 08:15:00+00:00,96.8
2024-07-07 08:30:00+00:00,90.69
2024-07-07 08:45:00+00:00,84.26
2024-07-07 09:00:00+00:00,54.38
2024-07-07 09:15:00+00:00,-64.07
2024-07-07 09:30:00+00:00,121.19
2024-07-07 09:45:00+00:00,107.78
2024-07-07 10:00:00+00:00,111.17
2024-07-07 10:15:00+00:00,58.56
2024-07-07 10:30:00+00:00,46.6
2024-07-07 10:45:00+00:00,68.2
2024-07-07 11:00:00+00:00,71.57
2024-07-07 11:15:00+00:00,97.53
2024-07-07 11:30:00+00:00,27.86
2024-07-07 11:45:00+00:00,108.42
2024-07-07 12:00:00+00:00,66.05
2024-07-07 12:15:00+00:00,59.33
2024-07-07 12:30:00+00:00,44.7
2024-07-07 12:45:00+00:00,28.63
2024-07-07 13:00:00+00:00,90.4
2024-07-07 13:15:00+00:00,71.66
2024-07-07 13:30:00+00:00,-62.43
2024-07-07 13:45:00+00:00,37.45
2024-07-07 14:00:00+00:00,60.27
2024-07-07 14:15:00+00:00,110.39
2024-07-07 14:30:00+00:00,62.17
2024-07-07 14:45:00+00:00,31.08
2024-07-07 15:00:00+00:00,-90.29
2024-07-07 15:15:00+00:00,59.04
2024-07-07 15:30:00+00:00,-1.56
2024-07-07 15:45:00+00:00,64.5
2024-07-07 16:00:00+00:00,55.57
2024-07-07 16:15:00+00:00,78.74
2024-07-07 16:30:00+00:00,107.56
2024-07-07 16:45:00+00:00,89.5
2024-07-07 17:00:00+00:00,48.96
2024-07-07 17:15:00+00:00,28.02
2024-07-07 17:30:00+00:00,120.02
2024-07-07 17:45:00+00:00,57.16
2024-07-07 18:00:00+00:00,50.35
2024-07-07 18:15:00+00:00,49.4
2024-07-07 18:30:00+00:00,54.95
2024-07-07 18:45:00+00:00,46.39
2024-07-07 19:00:00+00:00,31.34
2024-07-07 19:15:00+00:00,32.01
2024-07-07 19:30:00+00:00,44.86
2024-07-07 19:45:00+00:00,32.1
